win_rate,total_pnl,total_profit,total_loss,profit_factor,trade_count,market_count,closed_count,address
1.0,9728.6512031028,9728.6512031028,0.0,999.0,26,10,4,0xf05e409e4d008baee7349101e219b226351d95b0
1.0,8391.559232459018,8391.559232459018,0.0,999.0,200,133,11,0x478f311993178d13af1ffa5ad8db3cb5432df5d9
1.0,3855.818714742239,3855.818714742239,0.0,999.0,200,43,7,0x4bbe10ba5b7f6df147c0dae17b46c44a6e562cf3
1.0,3000.0073657819767,3000.0073657819767,0.0,999.0,200,49,6,0x93fb8127a1b21a112b11af936361225df0563e4a
1.0,759.5096142262317,759.5096142262317,0.0,999.0,32,19,3,0x25012ec798e4861e38c645df919f86dc3c177e28
1.0,510.0,510.0,0.0,999.0,27,14,3,0x0726afe07cf6e650f43193f9f90d1f03fbef369c
1.0,383.8204177427669,383.8204177427669,0.0,999.0,24,14,6,0x15c99780e8cdae0be13334dd99199c763ca6a939
1.0,341.57322964445547,341.57322964445547,0.0,999.0,70,56,4,0x4f490a54aa5b5e9f4bd8bcf6b7103645fc0b231d
1.0,126.45406341297245,126.45406341297245,0.0,999.0,57,39,7,0x56317f9b062cb4e002d3dfe3d6b26e65cd61a679
1.0,118.81961589819805,118.81961589819811,0.0,999.0,31,12,3,0x2cc798c8eef1fae6266c5cda2bf2b607c5372385
1.0,90.32039994290517,90.32039994290517,0.0,999.0,21,11,4,0xd8e370ef8e7e12834c7b57a5349a210371959ed5
1.0,81.52023036100486,81.52023036100486,0.0,999.0,16,11,4,0xa8ffec291ad3b9fd6b377abbbebeced48c326476
1.0,34.3672,34.3672,0.0,999.0,200,3,3,0xa4bd8f49695cf5d55924aca4cc2694952874e8a2
1.0,2.2389507339679504,2.2389507339679504,0.0,999.0,14,11,3,0xecfd8e61afb28a75c32a039c9d4b3390186a75c6
1.0,0.14099999999999652,0.13199999999999795,0.0,999.0,20,12,4,0xfa2e8b3f94ed6565ce18f84cb640280082bc04eb
0.9565217391304348,3584.0988092264474,3911.155773780106,327.05696455365853,11.958637783842157,200,96,46,0xa99caa266feb440947f41bca8ad2f1b40e933070
0.9333333333333333,10866.227213662598,11072.443183004822,206.21596934222273,53.69343227065848,200,85,15,0x2e0b70d482e6b389e81dea528be57d825dd48070
0.9230769230769231,15059.266727493607,15066.70449096086,7.437763467253774,2025.7036348755926,120,54,13,0xbe1405c14ad9a243b60ab709cb6e81c92ea7a1ae
0.8888888888888888,4839.2831769653785,4967.6554769653785,128.3723,38.69725382317976,201,40,9,0xe94bf89e66b852d60866667bddf7bff9dad65abe
0.875,166.25019259611,182.25019259611,16.0,11.390637037256875,200,164,8,0xa972e4bc6a87c794af6193023d42fa55bd6bd075
0.8666666666666667,-451.78964102813893,70.94511318182904,522.7347542099681,0.13571914362007842,200,122,15,0x91ff2022b7e0d7cc8002196aa857e4e9de982acb
0.8571428571428571,591.0863116278323,652.8378228818516,61.75151125401925,10.572013698520779,200,63,14,0xcf37bbb2c1687b70ea553b6fe05f740251d7993f
0.8571428571428571,203.98321452637347,234.80343637226312,30.820221845889627,7.618486250564674,200,124,35,0xc723d4dbd853be69c7eee54760f60e0e6f26c5ae
0.8571428571428571,-304.0574279724924,333.9425720275076,638.0,0.5234209592907643,200,113,7,0x4b2995b6c8cc2cf56899ad62ee87c3f70c97716f
0.8461538461538461,819.0620229229173,830.2145762900807,11.152553367163502,74.44165913919623,200,39,26,0x193a2a8ae48bcbcbabb5da9f0deda08a8f0aac57
0.8421052631578947,10822.64446068977,10941.590518446952,118.94605775718314,91.98783654337792,200,68,19,0x574e3aa34743c81f8f9e65c38599e4da95e83ef1
0.8333333333333334,5903.968883736087,8460.298886977122,2556.3300032410343,3.3095487970061614,200,29,18,0xf566870ca3c50e5863275364fa6d764f8e8f1386
0.8333333333333334,2878.533826609681,3021.880512014465,143.3466854047836,21.080923521051446,200,94,12,0xab57cc188d8b0e3938005dcb55960e1768a2842b
0.8235294117647058,42.563977743223845,80.6651684056636,38.1011914621936,2.117129814318396,122,99,17,0x80b931b3e4a0d1854bce3080fdd0a9a902bfdaf6
0.8181818181818182,1583.1184146748997,1594.6184146748997,11.499999999999996,138.66247084129566,97,54,11,0x0f449cb85238d1acbb49746ef8a1bb8a9a8ebc79
0.8181818181818182,53.73834171305282,54.98712266724765,1.2487809541948383,44.03264037823274,126,102,11,0x7aa40cb8177bcdf0a4b8c4985616a163e5274d69
0.8125,154.5943999640187,507.1405229628825,352.5461229988639,1.4385082968690506,200,42,16,0x0164c35d78f87db2658044c2c64d92254c309ed6
0.8125,18.055480576995905,31.173390588431694,13.117910011435786,2.3763991795381814,200,51,16,0xeea75cd940a8abc193b04ca78be589af3d41d491
0.8,1390.8437339777338,1772.039183977734,381.19545000000005,4.648636766198898,86,31,5,0xfc081d2dab43d97ee05b624e2166808ad3e96be7
0.8,480.2189388310259,480.3058739687651,0.08693513773923733,5524.876206091104,200,136,5,0xcdbfdac42aeac5837d105e255c1131e7bf751926
0.8,111.27680089715933,111.31540072982827,0.03859983266893052,2883.8311731705353,200,141,5,0x4ee988cadd5030ea17e2a027b36c24bb9dd9cf22
0.8,43.36573885774373,50.07420097996329,6.708462122219558,7.464333861871126,20,12,5,0x9d21cf49148ba034fc180beedd82105b45029e0f
0.8,12.493226391505983,25.822858200717658,13.330759210050257,1.9370883378682155,36,22,10,0xd158ed5118d214b1649493894d9affaa9b737cc4
0.8,5.840696402857635,12.329770673614043,6.489074270756408,1.9000816078156562,104,64,5,0x856c53f432858279f703ac9b7d21ca712185727d
0.8,5.267347087852857,6.723111587982745,1.455764500129888,4.618268674214056,57,19,5,0x894706a7e06dd3ed9bb3596c64e4c90adb0df4b4
0.8,-18.99920252632441,192.42080726384145,211.42000979016586,0.910135267966447,200,69,5,0x81525952f172646a4104030e9a9ef1e769c7bfda
0.782608695652174,289.45602275351763,367.6461274511786,78.19010469766087,4.701952105995543,162,119,23,0x5744b6fdce6420123e5298f0ec6afd5f4b9c874b
0.7777777777777778,603.4475806389755,638.6184338389754,35.170853199999996,18.157604258487975,200,119,9,0x28f096de7cf1355fd939493eddd7adbab995ceab
0.7777777777777778,116.18729067219718,183.5638769345079,67.37658626231072,2.7244460890294513,200,19,9,0xa1e635ae16050acbde8c2bba913cce4ff28630a2
0.7692307692307693,1968.6818928276336,2467.7663637809455,499.08447095331206,4.94458655278777,80,31,13,0xd3d0edd7aa93b7fb3419083f93eee1ca6b293df9
0.7692307692307693,70.35971307797696,338.3127137935096,267.95300071553265,1.2625822920067726,200,88,13,0x1809fb28d70eee006a8fca602f74c99b4cef4eb7
0.7692307692307693,24.890649153329402,27.174649143333045,2.283999990003643,11.897832426562182,63,50,13,0x5d03869e82a2e1a7f901922e5f5811e042047160
0.7647058823529411,-959.3230039627439,42.39483586606303,1001.717839828807,0.04232213321997768,200,147,17,0x623adb451a21a05f7b318c4ba6afd8fbb5385e86
0.7619047619047619,4355.517916054736,6094.258198104184,1738.740282049448,3.504984764556613,200,94,21,0xac9b386454ed02ef205e0ebd189d8864fd02d4c5
0.75,6489.7802006979,6696.727522583793,206.94732188589282,32.35957567151438,99,16,4,0xf935010601a9d728e83da3ab6e326ffe742751ab
0.75,316.15391715893657,323.0434866764563,6.889569517519746,46.88877670150172,42,16,4,0x6fe615c4480eb9f27a0bacf116620183b0d969b0
0.75,254.9918798112008,257.64719896013696,2.655319148936144,97.03059576223202,200,57,4,0x6c9264336622411ea73283e7624bb2a6e00b1322
0.75,54.007755775949605,221.44223759413146,167.43448181818184,1.3225605334664396,200,20,12,0x79c1d4e4ab909ed1022022cec60b9e959b7f497d
0.75,49.21249464249618,246.79543990565426,197.58294526315808,1.2490725835519392,200,133,8,0xada8164be6bc059d8a3372629f1ac170f68ba347
0.75,9.517356291479238,53.63422769858965,44.11687140711041,1.2157305354600758,86,66,4,0xc9f197ffc1e66ace792419966a1290c13deb137c
0.75,5.755885746453934,6.278624334878451,0.5227385884245166,12.0110213286561,37,25,4,0x285461aeb717bef949f31e7696c600dd3428c9b9
0.75,-149.92503770222152,792.1387734643371,942.0638111665586,0.8408546895389505,200,72,8,0x197040709ae61627d3685a8d6ce1f9e82e6b398d
0.75,-306.59845365691615,526.6723684254752,833.2708220823913,0.6320542547131206,200,104,12,0x0b644e443a404159a7b5ca4650cf2444b13549bd
